date	AAPL	SPY	TSLA	FNMA	FIGR.PVT	F
2023-10-31	169.113525390625	408.7943115234375	200.83999633789062	0.75	3.0	8.581725120544434
2023-11-30	188.3553009033203	446.13519287109375	240.0800018310547	0.7400000095367432	3.0	9.03061580657959
2023-12-31	190.91368103027344	466.5036926269531	248.47999572753906	1.0700000524520874	3.0	10.729357719421387
2024-01-31	182.85189819335938	473.93341064453125	187.2899932861328	1.2599999904632568	3.0	10.315674781799316
2024-02-29	179.46128845214844	498.6665344238281	201.8800048828125	1.2699999809265137	13.220000267028809	11.244848251342773
2024-03-31	170.25735473632812	514.9739379882812	175.7899932861328	1.5700000524520874	13.220000267028809	12.004146575927734
2024-04-30	169.1155548095703	494.2103271484375	183.27999877929688	1.4700000286102295	13.220000267028809	10.982709884643555
2024-05-31	191.13815307617188	519.2073364257812	178.0800018310547	1.5499999523162842	13.220000267028809	11.097804069519043
2024-06-30	209.40191650390625	537.5250854492188	197.8800048828125	1.4299999475479126	13.220000267028809	11.472917556762695
2024-07-31	220.795654296875	544.0339965820312	232.07000732421875	1.2799999713897705	13.25	9.899279594421387
2024-08-31	227.9391632080078	556.7456665039062	214.11000061035156	1.2000000476837158	13.25	10.397260665893555
2024-09-30	231.920654296875	568.4398803710938	261.6300048828125	1.1799999475479126	13.270000457763672	9.81189250946045
2024-10-31	224.8634796142578	563.367431640625	249.85000610351562	1.3899999856948853	13.270000457763672	9.561019897460938
2024-11-30	236.49049377441406	596.9629516601562	345.1600036621094	3.130000114440918	13.949999809265137	10.48202133178711
2024-12-31	249.5341796875	582.5999145507812	403.8399963378906	3.2799999713897705	15.640000343322754	9.323630332946777
2025-01-31	235.16519165039062	598.2463989257812	404.6000061035156	5.489999771118164	17.100000381469727	9.493151664733887
2025-02-28	241.24948120117188	590.6517944335938	292.9800109863281	6.400000095367432	190.24000549316406	9.287930488586426
2025-03-31	221.58761596679688	557.7411499023438	259.1600036621094	6.320000171661377	194.0	9.75475788116455
2025-04-30	211.9811248779297	552.9054565429688	282.1600036621094	6.309999942779541	194.0	9.735306739807129
2025-05-31	200.622314453125	587.6527709960938	346.4599914550781	10.529999732971191	194.0	10.24245548248291
2025-06-30	204.93740844726562	617.8499755859375	317.6600036621094	9.539999961853027	174.0	10.706228256225586
2025-07-31	207.33470153808594	632.0800170898438	308.2699890136719	8.020000457763672	174.0	10.923312187194824
2025-08-31	232.13999938964844	645.0499877929688	333.8699951171875	11.289999961853027	174.0	11.770000457763672
2025-09-30	238.77999877929688	648.094970703125	337.1499938964844	12.569999694824219	174.0	11.675000190734863
